class_label,LHS,RHS
phishing,COVYFMRBWQCHUDWYCOYUW,hotmail.co
phishing,041127192251.E0F57187C61,mail2.domain.co
phishing,01659380431.eBay.705443.53897.0,reply3.ebay.co
phishing,0301c4d5ae$9231cea0$4553594d,myselve
phishing,XSYRKPDISQIRUBXXMCHBC,goldenmail.r
phishing,BUTFFLYDDACBPRIUTGLDJ,charter.ne
phishing,0301c4d5f1$439947d0$4553594d,myselve
phishing,0401c4d602$82449d70$50206369,antiroo
phishing,041129194419.CEFB6537D9B,spanky.domain.co
phishing,BNKPZLVGLOEQJAMJWGE,yahoo.co
phishing,0412011101.iB1B1QWc005692,mail.tps.edu.h
phishing,041201134923.A2817539CD5,spanky.domain.co
phishing,041202155058.4995053836A,spanky.domain.co
phishing,RCAAGEWJLKXFZVFUOAJWHLM,yahoo.co
phishing,izabjneuLm6RWp,earthlight.co
phishing,KOEZFRDKHFDOJTYGRWBMMP,verizon.ne
phishing,ipcprjWUghpY4,rogers.co
phishing,fesjdafnkCh54,ihug.co
phishing,041204044304.B75AD538999,spanky.domain.co
phishing,0412050412.iB54CA915893,spam.thegeekempire.ne
phishing,041205053314.D6BDA539AFC,spanky.domain.co
phishing,041202093755.E8B78183F8E,mail2.domain.co
phishing,0701c4d8cf$4a347c00$745a48dc,sunn
phishing,041203092615.71A271A7CCD,mail2.domain.co
phishing,357.ic47,global.net.u
phishing,0601c4dbf9$ec22a690$0c01040a,imsser
phishing,XUXPQLJAVNXPDFOPFRDFQHP,hotmail.co
phishing,YCNDRPEKNJRIIJDFRRXDAR,msn.co
phishing,041209063618.7F65A85A5EB,mail1.domain.co
phishing,041209071318.384AA85A5EC,mail1.domain.co
phishing,041209103414.975BD85A54C,mail1.domain.co
phishing,0a01c4de02$67cc9c60$0c01040a,imsser
phishing,041210002842.7E22E1836A0,mail2.domain.co
phishing,0601c4e0a9$1f182f30$5cda56dc,sunn
phishing,0401c4e115$358ef2a0$0c01040a,imsser
phishing,0301c4e148$c6970f20$c5de7951,AKHENJ
phishing,SDKCBJRZQYVHOEETZTGKVR,charter.ne
phishing,BTIESSYZXKLGFQVFPTNKCG,hotmail.co
phishing,OFJBXDOOPNIFLJTRUP,hotmail.co
phishing,041216232858.2680085A5A5,mail1.domain.co
phishing,0412172236.iBHMa8R04711,spam.thegeekempire.ne
phishing,041218061652.79C6BC0A1,crimelabs.ne
phishing,041218061624.8011285A62C,mail1.domain.co
phishing,041218122758.C950485A5FA,mail1.domain.co
phishing,041218122819.84B6185A6EB,mail1.domain.co
phishing,041218130737.2397885A753,mail1.domain.co
phishing,041222213549.D82461836A9,mail2.domain.co
phishing,041223155913.75FFE85A84C,mail1.domain.co
phishing,2430179679.7eb1e2150452,emailgarden.co
phishing,041225092100.4303585AB8C,mail1.domain.co
phishing,6368044889.20369.rgzcenlth,vyhfn.netvisao.p
phishing,041226230034.D0BE21836D7,mail2.domain.co
phishing,6e01c4ebb0$15df7e80$39acdb8e,wamu.co
phishing,0412270501.iBR51s6V081011,wicked.internal.realitychecknetwork.co
phishing,0412280128.iBS1SCR23281,spam.thegeekempire.ne
phishing,5701c4f265$1c156780$0100a8c0,rocaroja.disc.ucn.c
phishing,GRICOXZASOKPPUTJNWCMW,msn.co
phishing,050106125147.37D8E1836A7,mail2.domain.co
phishing,050109103731.CFC1D85B414,mail1.domain.co
phishing,050110063210.E483D85ADB5,mail1.domain.co
phishing,5373125844.7eb1e1638120,emailgarden.co
phishing,XXNXNQXKPVIVAITQUOORCE,yahoo.co
phishing,7287964025.7eb1e4725810,mypersonalemail.com
phishing,050114191252.52A0E85A5EE,mail1.domain.co
phishing,050114193738.907E585A5E1,mail1.domain.co
phishing,050119083655.B5F4285A55F,mail1.domain.co
phishing,KRAOJKGWKDDVGLRAEVM,hotmail.co
phishing,AQPLGWJHYJZUHSOTRSSBLPM,yahoo.co
phishing,050127212713.43FEB85A663,mail1.domain.co
phishing,ns$-28i-59-11p93$f51$qq83e7,l06s4i29o8k0
phishing,$9ot5o4-5v-q4f4hn29u6dm-ng1y,flr1.tp
phishing,SNEUOJOAYXGZWOKCUG,msn.co
phishing,-6$c--0--$-w,qmb02
phishing,t543-04--20y-285gsa4$f4$28$-0,rsaxnu7
phishing,95-6a7m-7$4ph-$12-98e-5,mn62l.k9tld.y
phishing,66-6-$opdd$j6,zgb.l
phishing,JNXTNYFHDKHBOFJFFMOPMAC,yahoo.co
phishing,6-3$r45o$v6$$$7-8e-75wd,kr735.5wp
phishing,5d9x05-nd9$9l7590,znno3748i
phishing,RIHOXRHPLSVUNQKNFS,yahoo.co
phishing,-d1l-2$8d-5o-s$hxw-57,brju.1
phishing,$$u$$j72j43k-00,45wf0.27
phishing,LIXRSRZRXUSFRXPYUWIYUY,yahoo.co
phishing,GQKERMDTRIQJIDZGVFHSWY,hotmail.co
phishing,0.0.22.1.20050130122304.d2079684,wamu.co
phishing,Kyxe-1CvH5T02ii-0008IW,mrelay.perfora.ne
phishing,COVDFNBLHOPTCOFDMBVWQV,msn.co
phishing,07121452.14225.qmail,users.ebay.co
phishing,MFBINVUGLCNIVXCFKBE,yahoo.co
phishing,XDVLFHPIMDABKHRRZFPGMLL,msn.co
phishing,OVHQUSIAEKAEWJMUHVH,msn.co
phishing,5c-$91-zll1$$5,wtoc.99.q4uqu
phishing,m48$l95l5n8r-vh--9f91$1iyh4m,tjdf.8c9
phishing,0502021849.j12InUs28371,www3.server1111.co
phishing,ILFDPJUONEVRBMTXKIQJOUS,msn.co
phishing,Cxvry-0005mp-0O,tessa.thefasthosting.co
phishing,-$f7lop22yc$o65911tvk2mi$j5,rx2k.vbs
phishing,050208102027.0D72B85AA81,mail1.domain.co
phishing,050209035402.2FA177C131,L145-MAC18.loca
phishing,050209042729.75A4482C9E,L145-MAC18.loca
phishing,XRFNRFGJTKDSBDYJASUK,hotmail.co
phishing,2o47$hwnx9$$qe1l0hz8,pwsa4cl
phishing,050209195849.381C2B3297,L145-MAC21.loca
phishing,050211115040.1C0681966CB,compendium.ar.uninet.ed
phishing,050211122902.C85A685A852,mail1.domain.co
phishing,050211144123.6B3C118519F,mail2.domain.co
phishing,050210234445.1A8431839E9,mail2.domain.co
phishing,2b01c51069$b785aeae$c2f6d56a,wamu.co
phishing,CzimC-0005vE-KG,pbt1.silverband.com.a
phishing,050212012532.5A31285ABF4,mail1.domain.co
phishing,9on-o1-46-hk$--77d4m5d-7,o6r.h
phishing,3101c4768f$1009a70c$1c221380,zzv
phishing,MOGFLAAQYECDIIFHSYD,yahoo.co
phishing,3559833219199272.26149.support,citizensbank.co
phishing,050213172304.41D071967C5,compendium.ar.uninet.ed
phishing,LXKGDXWPETFJKIMIPWP,hotmail.co
phishing,YKFBPHMMNKSKJASZSEOYAB,yahoo.co
phishing,0502122248.BAA00863,dns1.tanzania-online.co
phishing,SNSLLLHZVPGSWCEJBMJOD,hotmail.co
phishing,D0hBa-00066L-76,cgi03.plus.ne
phishing,LEXEPPPIIQULCYGDLPH,msn.co
phishing,WLLNIWFRXFHYDLITTMIUDPG,msn.co
phishing,kx-299k5-zf-7-$$2,hy3e3q.i
phishing,050215135737.758441836A6,mail2.domain.co
phishing,050215193044.9B63B196805,compendium.ar.uninet.ed
phishing,KJTWBUYKQNISLIWSXVLWS,yahoo.co
phishing,MDGAOEESDCAIORCRDDHTB,yahoo.co
phishing,D1NxD-00045W-NE,server2.arterytc2.ne
phishing,$44u99cv73u9$-b0r$-k3-005$-ji,yad5
phishing,VBNAAPQBVNVDMVFRWM,msn.co
phishing,08627338862.eBay.705443.55099.0,reply3.ebay.co
phishing,050217122738.AFB1985AB6D,mail1.domain.co
phishing,050217214059.A7CA985A785,mail1.domain.co
phishing,D288W-0002oS-14,2n7-163.servernode.ne
phishing,ZLINTCJOFPRIBKXLOZC,hotmail.co
phishing,050218134316.13431.qmail,verkenners.ne
phishing,050218230251.D2E0B85B115,mail1.domain.co
phishing,UUQZZSYHYPKXUKAMJBQSOHA,yahoo.co
phishing,UQVXXAXBXZBKWGUQEEIJF,hotmail.co
phishing,m--v7n485201--eqx2go,xcutgp1fraw9
phishing,0502202318.j1KNIWGo032447,archives.colstate.ed
phishing,050221041914.0E2D185AEE4,mail1.domain.co
phishing,D3AtH-0008EP-41,server765.dnslive.ne
phishing,--0hf$$$-5-0,q2x.d8tkfd.z
phishing,7q6tm7w6jq981$46$hc-$81k$1987,ha93.t1
phishing,2401c51925$05646acb$40831d8e,wamu.co
phishing,96$669b02880y-2c7-b813-2u,71k4qgy.gb
phishing,D4gJp-0006QI-3G,oxygen.webpack.hosteurope.d
phishing,050225163843.C0830C34C8854834,paypal.co
phishing,1-41y$b$l682m6x21c6,7jj.q3.bb1ie
phishing,WETZCAWFPGPTNIYMCFSO,hotmail.co
phishing,050226055154.EC36AAAE0D55EEB3,paypal.co
phishing,MZYIFRCGGDKLJUODJBJXSFF,yahoo.co
phishing,09458595-247457336252,r.cipspecials.co
phishing,2xqz57un8z7,dyk2
phishing,97a7srhx7-lcy$$y-epjzt-jh,r36.vy
phishing,LPLXRLAZTWFNPMTFKMOYE,hotmail.co
phishing,YPUAWKVFSRKVUCHEVPXWUY,yahoo.co
phishing,D5jko-0005sg-T6,server.balanoff.co
phishing,$i81-e$mb-3$4d$td3-u6$l-3-6,9kh.7u.8bv.e2
phishing,050228155915.173E218369F,mail2.domain.co
phishing,ICOHFOIPLDHRTZBJLTAHS,msn.co
phishing,SJWHHUQDDKMOCFKDYNKT,comcast.ne
phishing,09827317702.eBay.705443.55410.0,reply3.ebay.co
phishing,NDUCCHAR2025,paypal.co
phishing,050305025526.3254385AC48,mail1.domain.co
phishing,D7fjq-0003mP-E5,megs26.100mwh.co
phishing,050305232549.43B1A85AD54,mail1.domain.co
phishing,p8klb5lkb-$26gmjd-fwp9,gz1.8k.12b6
phishing,KBGSINFQMGGEZBYLZNFOPV,yahoo.co
phishing,D80hn-000327-30,tcserver.24host-4.ne
phishing,UVAHBESBKPOKOECODYOC,hotmail.co
phishing,---25r06h1c8,76d.6n
phishing,0503062226.j26MQJ0M021028,66-194-152-221.gen.twtelecom.ne
phishing,D8LED-0008Ve-2S,wo.upixnet.co
phishing,$12yy-q25gh1$38979,50l76rvtom
phishing,050308015423.9F2D185ACDC,mail1.domain.co
phishing,050308032359.345ED85AE9F,mail1.domain.co
phishing,050308105227.4430A85A7D6,mail1.domain.co
phishing,050308150400.BEAF685AAB7,mail1.domain.co
phishing,XHWHZOKAIVTUITWLRDR,yahoo.co
phishing,CYKBXAUJXRWTYSOFTUD,hotmail.co
phishing,42-t106g--$$c1y792z1c1d62292,kd4b.gf
phishing,NAZKCKNBIILJGZWNNNTV,msn.co
phishing,-0lh21i6j749in-9-v,lbjp3q
phishing,10337875-250257336252,r.ciprewards.or
phishing,NDUCCHAR2025,paypal.co
phishing,D913G-0003Zd-KI,2n7-163.servernode.ne
phishing,NDUCCHAR2025,paypal.co
phishing,050311014420.3A72285AF2B,mail1.domain.co
phishing,NDUCCHAR2025,paypal.co
phishing,NDUCCHAR2025,paypal.co
phishing,050311175917.8B64985A666,mail1.domain.co
phishing,10656596-251257336252,r.cipspecials.co
phishing,JLUHPEPPJMQZMLCDTARGWCM,msn.co
phishing,LDWNULSKBJTHIFAUINT,comcast.ne
phishing,RSGIUAPVUTCOXFRGYXWNV,msn.co
phishing,050314180827.8A61E85AE0F,mail1.domain.co
phishing,10861145-251657336252,r.dbestdeals.ne
phishing,10955747-252157336252,r.expsavings.co
phishing,10968138240.eBay.705443.55602.0,reply3.ebay.co
phishing,050317012145.9B52E85AD41,mail1.domain.co
phishing,ENSBELXKIQJOMSIERJC,comcast.ne
phishing,050318195202.561D185A74E,mail1.domain.co
phishing,050318200206.B0A4B85A74E,mail1.domain.co
phishing,050318214522.CA44685B14A,mail1.domain.co
phishing,DCQyI-0007XS-P1,chevelle.redcheckhosting.co
phishing,11199496-260157336252,r.cipspecials.co
phishing,050319111751.0C22685ADEA,mail1.domain.co
phishing,050319122329.8533D183703,mail2.domain.co
phishing,0503191358.j2JDwPR32150,spam.thegeekempire.ne
phishing,050319155731.AE27785ADC1,mail1.domain.co
phishing,050319182219.BA91485ACEA,mail1.domain.co
phishing,050319204856.067C9183B11,mail2.domain.co
phishing,0503200335.j2K3ZmR06695,spam.thegeekempire.ne
phishing,ESSAGEID,hotmail.co
phishing,DD1FM-0000ub-CA,server.register4domain.co
phishing,0503201519.j2KFJNR20215,spam.thegeekempire.ne
phishing,0503210204.j2L24PR01603,spam.thegeekempire.ne
phishing,675384.1111526725748.JavaMail.root,shankscape.co
phishing,050323145118.C98971836A0,mail2.domain.co
phishing,BZSLQIWBFFQUOFIJJCLH,hotmail.co
phishing,11979565-262257336252,r.ciprewards.co
phishing,050328205839.1103.qmail,localhost.localdomai
phishing,12102376-262457336252,r.cipspecials.co
phishing,--$9tymzwxl0i64,h5w.y.kq
phishing,050329154357.B5A301836A0,mail2.domain.co
phishing,DGPDY-0005zX-Fs,host.zeema.co
phishing,050329223530.15D9A85B0B4,mail1.domain.co
phishing,12151264-263257336252,r.ciprewards.co
phishing,0503301015.j2UAFqjN031842,devdb1.zerodegrees.co
phishing,12231669-263557336252,r.ircspecials.co
phishing,050330095225.18870.qmail,web2.poporo.ne
phishing,DGz9w-0000SG-Hn,server.digitime.ne
phishing,DGz9w-0000SK-LY,server.digitime.ne
phishing,050331223508.DC2B21839E9,mail2.domain.co
phishing,050401032200.A6C2918369F,mail2.domain.co
phishing,155v9garur$72236482c07$919bi847gb9,usa.co
phishing,050401044654.D7F3E85AB29,mail1.domain.co
phishing,050401154144.7D25D85A972,mail1.domain.co
phishing,050402110135.B6FBE85A754,mail1.domain.co
phishing,050402114057.D9E0A85B178,mail1.domain.co
phishing,LVCEBBXEBTPQNOHYPVPMQPJ,msn.co
phishing,0504042130.j34LU0c9017461,pubhtml.co
phishing,050405145311.1B3B985ADA0,mail1.domain.co
phishing,12662708-265857336252,r.cipspecials.co
phishing,RZLJQRFJQHGOCCZVJVO,hotmail.co
phishing,PZOIUHANNIRRIOCOZZKIHET,msn.co
phishing,050405190824.1596.qmail,standard.dedicated.abac.ne
phishing,12769053181.eBay.705443.55911.0,reply3.ebay.co
phishing,AQSYBZOGBXJBXDBBUTTE,ebay.co
phishing,050407205817.23FAC85B211,mail1.domain.co
phishing,12982058-267457336252,r.mcrspecials.co
phishing,050409015950.738C51836A0,mail2.domain.co
phishing,0504101501.j3AF1mao006303,localhost.localdomai
phishing,DLUDLNNWBBJJTXSPUXNDRP,aol.co
phishing,050407115117.3434.qmail,web2.poporo.ne
phishing,13445942-269457336252,r.great-offers.ne
phishing,050414090329.EF1A418369F,mail2.domain.co
phishing,0504141137.HAA28616,example.com
phishing,0504150024.UAA00513,example.com
phishing,0504150337.XAA01847,example.com
phishing,0504150405.AAA02114,example.com
phishing,0504150425.AAA02284,example.com
phishing,0504150632.CAA03150,example.com
phishing,0504180329.XAA19386,example.com
phishing,MKNSXZEIMZYEMLVPAJMKLEP,hotmail.co
phishing,050420211619.282601836A6,mail2.domain.co
phishing,050420211511.7386D85A665,mail1.domain.co
phishing,HVHEJWZFZUIEOBBCRZRYQZG,msn.co
phishing,050421080430.34A6985AF5E,mail1.domain.co
phishing,YQPUZRKUDWLLTUKIQLCD,comcast.ne
phishing,050424081232.D316685A919,mail1.domain.co
phishing,14395164-273457336252,r.promoidplace.co
phishing,0504251750.j3PHo2db001051,mail.magbelle.co
phishing,050426032505.9750.qmail,fedorabox.readreceipts.co
phishing,0504260643.j3Q6hwUD013108,mail.aero-vision.co
phishing,050426100828.9741985B052,mail1.domain.co
phishing,JLKFSVOJBRMEGLXPIMYT,yahoo.co
phishing,RIS-4386786-48731-2005.04.26-16.01.30--username#domain.com,members3.zippyclicks.co
phishing,050427204119.2969485AE3C,mail1.domain.co
phishing,E348DF.C84D428,yahoo.co
phishing,14763606-274857336252,r.ysrpromo.co
phishing,$1c98i$-8i0wju-2$y$no62,agbyp34elf.8
phishing,$9z-15$on$-$lw$28-z0t$$ro9,4msw65b3.y.wj
phishing,DRuwI-0008KT-6O,p6.ich-3.co
phishing,050501230354.C175785ABF3,mail1.domain.co
phishing,0505012248.PAA98375,mx2045.aa05.co
phishing,9D5DEA.24FA032,excite.co
phishing,10700.1115048071304.JavaMail.root,shankscape.co
phishing,JXFVMPOLZWXMJHVSFNJKSRP,hotmail.co
phishing,b$rxd-t1u9z1-44-n,vur.ut7u5a
phishing,KCMIFBLEOOEKBOJPBPOKNECGAA.b.charlesao,paypal.co
phishing,47A0A4.5BFF3E2,isp-q.co
phishing,HCMQGDTKEEUNEVZJWMR,earthlink.ne
phishing,DTuBf-0004i2-4a,host.serverpro6.co
phishing,050506151026.46A5A85B0CE,mail1.domain.co
phishing,050506161933.C4E9D85B127,mail1.domain.co
phishing,050506165354.689AD85B122,mail1.domain.co
phishing,050506205411.2CEF785AE9D,mail1.domain.co
phishing,RIS-4386786-71387-2005.05.06-19.00.39--username#domain.com,members3.zippyclicks.co
phishing,872B95.C2769AA,isp-q.co
phishing,8F11CB.7CFEC47,isp-q.co
phishing,72812B.24A9A43,isp-q.co
phishing,20936D.51CF617,isp-q.co
phishing,050507192943.B3BD385AD4F,mail1.domain.co
phishing,0505072005.NAA02453,server2.maxipointservers.ne
phishing,0505072131.OAA35543,mx1930.aa04.co
phishing,050508164421.B396885AE50,mail1.domain.co
